Simulated Composition,Energy above convex hull (meV/atom)
"La8Ga4Ni4O24
",67.0851014829
"La8Ga8O24
",6.3713860714
"Ba2La6Mn8O24
",43.3637207337
"Ca2La6Mn8O24
",32.789930692
"Ca4La4Mn8O24
",38.146165692
"La6Dy2Mn8O24
",53.842554067
"La4Dy4Mn8O24
",60.521912442
"La6Gd2Mn8O24
",0.0
"La4Gd4Mn8O24
",0.0
"La6Ho2Mn8O24
",56.751733567
"La4Ho4Mn8O24
",65.031271442
"La6Nd2Mn8O24
",40.254439817
"La4Nd4Mn8O24
",40.835433942
"La6Sm2Mn8O24
",43.488231192
"La4Sm4Mn8O24
",44.850516692
"Sr2La6Mn8O24
",32.1439513587
"Sr4La4Mn8O24
",39.241275192
"La8Mn7Co1O24
",36.507512418
"La8Mn6Co2O24
",48.994329144
"La8Mn4Co4O24
",26.702212596
"La8Mn7Cr1O24
",43.125215418
"La8Mn6Cr2O24
",49.847735144
"La8Mn7Fe1O24
",40.2646946055
"La8Mn6Fe2O24
",43.995693519
"La8Mg1Mn7O24
",0.0
"La8Mg2Mn6O24
",0.0
"La8Mg4Mn4O24
",0.0
"La8Mn7Ni1O24
",31.343352695
"La8Mn6Ni2O24
",19.2047596979
"La8Mn4Ni4O24
",0.4420737039
"La8Mn8O24
",39.226445692
"Ba2La6Ni8O24
",162.308582145
"Ba4La4Ni8O24
",210.808929074
"Ca2La6Ni8O24
",178.001455145
"Ca4La4Ni8O24
",232.209208574
"La6Dy2Ni8O24
",157.374363216
"La4Dy4Ni8O24
",181.910774716
"La6Gd2Ni8O24
",0.0
"La6Ho2Ni8O24
",161.615855778
"La4Ho4Ni8O24
",189.644509841
"La6Nd2Ni8O24
",131.304680028
"La4Nd4Ni8O24
",133.559658341
"La6Sm2Ni8O24
",140.198318684
"La4Sm4Ni8O24
",150.508185653
"Sr2La6Ni8O24
",155.792869145
"Sr4La4Ni8O24
",194.268536574
"La8Co1Ni7O24
",108.979857614
"La8Co2Ni6O24
",86.4067635131
"La8Cr1Ni7O24
",114.247314439
"La8Cr2Ni6O24
",95.7636771618
"La8Fe1Ni7O24
",115.200293626
"La8Fe2Ni6O24
",102.514385537
"La8Mg1Ni7O24
",0.0
"La8Mg2Ni6O24
",0.0
"La8Mg4Ni4O24
",0.0
"La8Mn1Ni7O24
",100.457044713
"La8Mn2Ni6O24
",69.2693877098
"La8Ni8O24
",128.935951716
"Ba2La6Sc8O24
",14.0944440539
"Ba4La4Sc8O24
",42.2958931079
"Ca2La6Sc8O24
",30.4689790539
"Ca4La4Sc8O24
",87.3607131079
"La6Dy2Sc8O24
",0.0
"La4Dy4Sc8O24
",0.0
"La6Gd2Sc8O24
",30.22875
"La4Gd4Sc8O24
",29.653255
"La6Ho2Sc8O24
",0.0
"La4Ho4Sc8O24
",0.992490625
"La6Nd2Sc8O24
",0.0
"La4Nd4Sc8O24
",0.0
"La6Sm2Sc8O24
",0.0
"La4Sm4Sc8O24
",0.0
"Sr2La6Sc8O24
",11.9314874914
"Sr4La4Sc8O24
",49.3632299829
"La8Sc7Co1O24
",0.0
"La8Sc6Co2O24
",0.0
"La8Sc4Co4O24
",0.0
"La8Sc7Cr1O24
",0.0
"La8Sc6Cr2O24
",0.0
"La8Sc4Cr4O24
",0.0
"La8Sc7Fe1O24
",0.0
"La8Sc6Fe2O24
",0.0
"La8Sc4Fe4O24
",0.0
"La8Mg1Sc7O24
",5.0562563395
"La8Mg2Sc6O24
",34.3690176789
"La8Mg4Sc4O24
",89.9135403579
"La8Sc7Mn1O24
",9.5235200865
"La8Sc6Mn2O24
",0.0
"La8Sc4Mn4O24
",0.0
"La8Sc7Ni1O24
",0.0
"La8Sc6Ni2O24
",16.2043591789
"La8Sc4Ni4O24
",44.4184733579
"La8Sc8O24
",0.0
"Ba2La6Ti8O24
",14.8100515625
"Ba4La4Ti8O24
",13.804608375
"Ca2La6Ti8O24
",8.970625875
"Ca4La4Ti8O24
",0.0
"La6Dy2Ti8O24
",52.6296356875
"La4Dy4Ti8O24
",60.680276625
"La6Gd2Ti8O24
",34.5198214375
"La4Gd4Ti8O24
",34.149398125
"La6Ho2Ti8O24
",55.3782776875
"La4Ho4Ti8O24
",62.110810625
"La6Nd2Ti8O24
",35.5034056875
"La4Nd4Ti8O24
",40.797316625
"La6Sm2Ti8O24
",42.324806125
"La4Sm4Ti8O24
",50.8263675
"Sr2La6Ti8O24
",7.3789669861
"Sr4La4Ti8O24
",0.0
"La8Ti7Co1O24
",88.3802996944
"La8Ti6Co2O24
",141.470543625
"La8Ti4Co4O24
",23.94141725
"La8Ti7Cr1O24
",74.7468692031
"La8Ti6Cr2O24
",117.125778375
"La8Ti4Cr4O24
",62.9442200833
"La8Ti7Fe1O24
",79.2325764722
"La8Ti6Fe2O24
",118.542972875
"La8Ti4Fe4O24
",28.81237225
"La8Mg1Ti7O24
",25.722252
"La8Mg2Ti6O24
",24.13350925
"La8Mg4Ti4O24
",22.18427375
"La8Ti7Mn1O24
",65.3557068672
"La8Ti6Mn2O24
",95.520522806
"La8Ti4Mn4O24
",37.348833846
"La8Ti7Ni1O24
",122.038739417
"La8Ti6Ni2O24
",208.989074875
"La8Ti4Ni4O24
",39.83120675
